Id,Fitness,CO2,Time,Fixed Cost,Running Cost,,Distance,NoRoutes,CO2,TotalCost,FixedCost,RunningCost,TimeOfLastDel,AvgDelTime,CostPerDelivery,CO2PerDelivery,PCICRoutes,PCWalkRoutes,PCEVRoutes,PCCycleRoutes,PCICVisits,PCWalkVisits,PCEVVisits,PCCycleVisits,PCICDist,PCWalkDist,PCEVDist,PCCycleDist,PCICVol,PCWalkVol,PCEVVol,PCCycleVol,z,source
0:0:2:0,64464.394779830196,0,0,2,0,15 8 (15.0:49.0)[true-Van]:31 20 (31.0:63.0)[false-City Cargo Bike]:8 5 (8.0:87.0)[false-City Cargo Bike]:24 17 (24.0:93.0)[false-City Cargo Bike]:26 8 (26.0:89.0)[false-City Cargo Bike]:11 20 (11.0:73.0)[false-City Cargo Bike]:27 16 (27.0:47.0)[true-City Cargo Bike]:12 14 (12.0:17.0)[true-Walker]:14 7 (14.0:75.0)[false-City Cargo Bike]:23 26 (23.0:63.0)[false-City Cargo Bike]:28 20 (28.0:29.0)[false-City Cargo Bike]:20 19 (20.0:45.0)[true-Van]:7 6 (7.0:29.0)[false-City Cargo Bike]:22 3 (22.0:49.0)[false-Walker]:39 2 (39.0:81.0)[false-City Cargo Bike]:10 13 (10.0:65.0)[false-City Cargo Bike]:33 14 (33.0:67.0)[true-Van]:43 11 (43.0:89.0)[false-City Cargo Bike]:38 15 (38.0:83.0)[false-City Cargo Bike]:16 21 (16.0:85.0)[false-City Cargo Bike]:6 12 (6.0:55.0)[false-City Cargo Bike]:34 25 (34.0:41.0)[true-City Cargo Bike]:30 22 (30.0:33.0)[false-City Cargo Bike]:35 17 (35.0:49.0)[false-City Cargo Bike]:40 9 (40.0:57.0)[false-City Cargo Bike]:9 1 (9.0:75.0)[false-City Cargo Bike]:19 20 (19.0:79.0)[false-City Cargo Bike]:18 24 (18.0:89.0)[true-Van]:17 8 (17.0:89.0)[false-City Cargo Bike]:21 13 (21.0:93.0)[false-City Cargo Bike]:41 10 (41.0:93.0)[false-City Cargo Bike]:36 19 (36.0:57.0)[false-Van]:5 23 (5.0:39.0)[false-City Cargo Bike]:4 16 (4.0:15.0)[false-City Cargo Bike]:29 12 (29.0:13.0)[true-City Cargo Bike]:37 20 (37.0:45.0)[false-City Cargo Bike]:13 18 (13.0:39.0)[false-City Cargo Bike]:2 14 (2.0:95.0)[false-City Cargo Bike]:25 22 (25.0:39.0)[true-Van]:45 24 (45.0:35.0)[false-Walker]:42 6 (42.0:17.0)[false-City Cargo Bike]:44 21 (44.0:7.0)[false-City Cargo Bike]:32 12 (32.0:41.0)[false-City Cargo Bike]:3 1 (3.0:45.0)[false-City Cargo Bike]:,SOL:R:Van::R:Van:15:31:8:24:26:11::R:City Cargo Bike:27::R:Walker:12::R:City Cargo Bike:14::R:City Cargo Bike:23::R:City Cargo Bike:28::R:Van:20:7:22:39:10::R:Van:33:43:38:16:6::R:City Cargo Bike:34::R:City Cargo Bike:30::R:City Cargo Bike:35::R:City Cargo Bike:40:9::R:City Cargo Bike:19::R:Van:18:17:21:41:36:5::R:City Cargo Bike:4::R:City Cargo Bike:29::R:City Cargo Bike:37::R:City Cargo Bike:13::R:City Cargo Bike:2::R:Van:25:45:42:44:32:3:,64464.394779830196,21.0,39840.10571168517,233983.0644100419,1470.0,232513.0644100419,5004.8689505878465,NaN,5317.796918410043,905.4569479928449,29.0,5.0,0.0,67.0,64.0,2.0,0.0,34.0,12.0,8.0,0.0,80.0,59.0,2.0,0.0,38.0,RndSwap:simple
0:0:2:1,86633.58972443726,0,0,2,1,34 25 (34.0:41.0)[false-City Cargo Bike]:4 16 (4.0:15.0)[false-City Cargo Bike]:13 18 (13.0:39.0)[false-City Cargo Bike]:5 23 (5.0:39.0)[false-City Cargo Bike]:31 20 (31.0:63.0)[false-City Cargo Bike]:37 20 (37.0:45.0)[false-City Cargo Bike]:2 14 (2.0:95.0)[false-City Cargo Bike]:7 6 (7.0:29.0)[false-City Cargo Bike]:39 2 (39.0:81.0)[false-City Cargo Bike]:8 5 (8.0:87.0)[false-City Cargo Bike]:10 13 (10.0:65.0)[true-City Cargo Bike]:3 1 (3.0:45.0)[false-Walker]:22 3 (22.0:49.0)[false-Walker]:19 20 (19.0:79.0)[true-Van]:14 7 (14.0:75.0)[false-City Cargo Bike]:24 17 (24.0:93.0)[false-City Cargo Bike]:41 10 (41.0:93.0)[false-City Cargo Bike]:43 11 (43.0:89.0)[false-City Cargo Bike]:11 20 (11.0:73.0)[false-City Cargo Bike]:45 24 (45.0:35.0)[false-Van]:44 21 (44.0:7.0)[false-City Cargo Bike]:42 6 (42.0:17.0)[false-City Cargo Bike]:32 12 (32.0:41.0)[false-City Cargo Bike]:23 26 (23.0:63.0)[false-City Cargo Bike]:40 9 (40.0:57.0)[true-Van]:9 1 (9.0:75.0)[false-City Cargo Bike]:33 14 (33.0:67.0)[false-City Cargo Bike]:27 16 (27.0:47.0)[false-City Cargo Bike]:20 19 (20.0:45.0)[true-Walker]:15 8 (15.0:49.0)[false-City Cargo Bike]:38 15 (38.0:83.0)[false-City Cargo Bike]:26 8 (26.0:89.0)[false-City Cargo Bike]:16 21 (16.0:85.0)[false-City Cargo Bike]:12 14 (12.0:17.0)[false-City Cargo Bike]:17 8 (17.0:89.0)[false-City Cargo Bike]:25 22 (25.0:39.0)[false-Van]:29 12 (29.0:13.0)[false-City Cargo Bike]:28 20 (28.0:29.0)[false-Walker]:30 22 (30.0:33.0)[false-City Cargo Bike]:6 12 (6.0:55.0)[false-City Cargo Bike]:35 17 (35.0:49.0)[false-City Cargo Bike]:18 24 (18.0:89.0)[false-City Cargo Bike]:21 13 (21.0:93.0)[false-City Cargo Bike]:36 19 (36.0:57.0)[false-City Cargo Bike]:,SOL:R:City Cargo Bike::R:City Cargo Bike:34::R:City Cargo Bike:4::R:City Cargo Bike:13::R:City Cargo Bike:5::R:City Cargo Bike:31::R:City Cargo Bike:37::R:City Cargo Bike:2::R:City Cargo Bike:7:39::R:City Cargo Bike:8::R:City Cargo Bike:10::R:Walker:3:22::R:Van:19:14:24:41:43:11::R:Van:45:44:42:32:23::R:Van:40:9:33:27::R:Walker:20::R:City Cargo Bike:15::R:City Cargo Bike:38::R:City Cargo Bike:26::R:City Cargo Bike:16::R:City Cargo Bike:12::R:City Cargo Bike:17::R:Van:25:29:28:30:6::R:City Cargo Bike:35::R:City Cargo Bike:18::R:City Cargo Bike:21::R:City Cargo Bike:36:,86633.58972443726,27.0,41550.2249463851,282927.7643094758,1630.0,281297.7643094758,4948.925566955588,NaN,6430.176461578995,944.3232942360249,15.0,7.0,0.0,78.0,45.0,7.0,0.0,48.0,10.0,6.0,0.0,84.0,48.0,4.0,0.0,49.0,RndSwap:simple
0:0:2:2,-1.0,0,0,2,2,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
0:0:2:3,-1.0,0,0,2,3,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
0:0:2:4,-1.0,0,0,2,4,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
0:0:3:0,91993.40704819493,0,0,3,0,22 3 (22.0:49.0)[true-Van]:4 16 (4.0:15.0)[false-Van]:5 23 (5.0:39.0)[false-Van]:14 7 (14.0:75.0)[false-City Cargo Bike]:3 1 (3.0:45.0)[true-Walker]:36 19 (36.0:57.0)[false-City Cargo Bike]:37 20 (37.0:45.0)[false-City Cargo Bike]:31 20 (31.0:63.0)[false-City Cargo Bike]:2 14 (2.0:95.0)[false-City Cargo Bike]:7 6 (7.0:29.0)[false-City Cargo Bike]:26 8 (26.0:89.0)[false-City Cargo Bike]:9 1 (9.0:75.0)[false-City Cargo Bike]:33 14 (33.0:67.0)[false-City Cargo Bike]:39 2 (39.0:81.0)[false-City Cargo Bike]:8 5 (8.0:87.0)[false-City Cargo Bike]:10 13 (10.0:65.0)[true-City Cargo Bike]:19 20 (19.0:79.0)[true-Van]:24 17 (24.0:93.0)[false-City Cargo Bike]:41 10 (41.0:93.0)[false-City Cargo Bike]:43 11 (43.0:89.0)[false-City Cargo Bike]:11 20 (11.0:73.0)[false-City Cargo Bike]:45 24 (45.0:35.0)[false-Van]:42 6 (42.0:17.0)[false-City Cargo Bike]:32 12 (32.0:41.0)[false-City Cargo Bike]:23 26 (23.0:63.0)[false-City Cargo Bike]:40 9 (40.0:57.0)[true-Walker]:27 16 (27.0:47.0)[false-City Cargo Bike]:20 19 (20.0:45.0)[false-City Cargo Bike]:15 8 (15.0:49.0)[false-City Cargo Bike]:38 15 (38.0:83.0)[false-City Cargo Bike]:16 21 (16.0:85.0)[false-City Cargo Bike]:12 14 (12.0:17.0)[false-City Cargo Bike]:13 18 (13.0:39.0)[false-City Cargo Bike]:34 25 (34.0:41.0)[false-City Cargo Bike]:17 8 (17.0:89.0)[false-City Cargo Bike]:25 22 (25.0:39.0)[false-Van]:29 12 (29.0:13.0)[false-City Cargo Bike]:28 20 (28.0:29.0)[false-Walker]:30 22 (30.0:33.0)[false-City Cargo Bike]:6 12 (6.0:55.0)[false-City Cargo Bike]:35 17 (35.0:49.0)[false-City Cargo Bike]:44 21 (44.0:7.0)[false-City Cargo Bike]:18 24 (18.0:89.0)[false-City Cargo Bike]:21 13 (21.0:93.0)[false-City Cargo Bike]:,SOL:R:Van::R:Van:22:4:5:14::R:Walker:3::R:City Cargo Bike:36::R:City Cargo Bike:37::R:City Cargo Bike:31::R:City Cargo Bike:2::R:City Cargo Bike:7::R:City Cargo Bike:26:9::R:City Cargo Bike:33::R:City Cargo Bike:39:8::R:City Cargo Bike:10::R:Van:19:24:41:43:11::R:Van:45:42:32:23::R:Walker:40::R:City Cargo Bike:27::R:City Cargo Bike:20::R:City Cargo Bike:15::R:City Cargo Bike:38::R:City Cargo Bike:16::R:City Cargo Bike:12::R:City Cargo Bike:13::R:City Cargo Bike:34::R:City Cargo Bike:17::R:Van:25:29:28:30:6::R:City Cargo Bike:35::R:City Cargo Bike:44::R:City Cargo Bike:18::R:City Cargo Bike:21:,91993.40704819493,29.0,35835.81899528533,278959.94348413177,1800.0,277159.94348413177,4526.587966262068,NaN,6339.99871554845,814.4504317110302,17.0,7.0,0.0,76.0,41.0,5.0,0.0,55.0,8.0,7.0,0.0,86.0,45.0,2.0,0.0,54.0,RndSwap:simple
0:0:3:1,88012.33249950991,0,0,3,1,22 3 (22.0:49.0)[true-Van]:4 16 (4.0:15.0)[false-Van]:5 23 (5.0:39.0)[false-Van]:14 7 (14.0:75.0)[false-City Cargo Bike]:3 1 (3.0:45.0)[true-Walker]:36 19 (36.0:57.0)[false-City Cargo Bike]:37 20 (37.0:45.0)[false-City Cargo Bike]:31 20 (31.0:63.0)[false-City Cargo Bike]:2 14 (2.0:95.0)[false-City Cargo Bike]:7 6 (7.0:29.0)[false-City Cargo Bike]:26 8 (26.0:89.0)[false-City Cargo Bike]:9 1 (9.0:75.0)[false-City Cargo Bike]:33 14 (33.0:67.0)[false-City Cargo Bike]:39 2 (39.0:81.0)[false-City Cargo Bike]:8 5 (8.0:87.0)[false-City Cargo Bike]:10 13 (10.0:65.0)[true-Van]:19 20 (19.0:79.0)[true-Van]:24 17 (24.0:93.0)[false-City Cargo Bike]:41 10 (41.0:93.0)[false-City Cargo Bike]:43 11 (43.0:89.0)[false-City Cargo Bike]:11 20 (11.0:73.0)[false-City Cargo Bike]:45 24 (45.0:35.0)[false-Van]:35 17 (35.0:49.0)[false-City Cargo Bike]:42 6 (42.0:17.0)[false-City Cargo Bike]:32 12 (32.0:41.0)[false-City Cargo Bike]:23 26 (23.0:63.0)[false-City Cargo Bike]:40 9 (40.0:57.0)[true-Walker]:27 16 (27.0:47.0)[false-City Cargo Bike]:20 19 (20.0:45.0)[false-City Cargo Bike]:15 8 (15.0:49.0)[false-City Cargo Bike]:38 15 (38.0:83.0)[false-City Cargo Bike]:16 21 (16.0:85.0)[false-City Cargo Bike]:12 14 (12.0:17.0)[false-City Cargo Bike]:13 18 (13.0:39.0)[false-City Cargo Bike]:34 25 (34.0:41.0)[false-City Cargo Bike]:17 8 (17.0:89.0)[false-City Cargo Bike]:25 22 (25.0:39.0)[false-Van]:29 12 (29.0:13.0)[false-City Cargo Bike]:28 20 (28.0:29.0)[false-Walker]:30 22 (30.0:33.0)[false-City Cargo Bike]:6 12 (6.0:55.0)[false-City Cargo Bike]:44 21 (44.0:7.0)[false-City Cargo Bike]:18 24 (18.0:89.0)[false-City Cargo Bike]:21 13 (21.0:93.0)[false-City Cargo Bike]:,SOL:R:Van::R:Van:22:4:5:14::R:Walker:3::R:City Cargo Bike:36::R:City Cargo Bike:37::R:City Cargo Bike:31::R:City Cargo Bike:2::R:City Cargo Bike:7::R:City Cargo Bike:26:9::R:City Cargo Bike:33::R:City Cargo Bike:39:8::R:Van:10::R:Van:19:24:41:43:11::R:Van:45:35:42:32:23::R:Walker:40::R:City Cargo Bike:27::R:City Cargo Bike:20::R:City Cargo Bike:15::R:City Cargo Bike:38::R:City Cargo Bike:16::R:City Cargo Bike:12::R:City Cargo Bike:13::R:City Cargo Bike:34::R:City Cargo Bike:17::R:Van:25:29:28:30:6::R:City Cargo Bike:44::R:City Cargo Bike:18::R:City Cargo Bike:21:,88012.33249950991,28.0,41307.98088917313,285245.41531087,1820.0,283425.41531087,4932.2627598919025,NaN,6482.850347974318,938.8177474812074,21.0,7.0,0.0,71.0,45.0,5.0,0.0,50.0,9.0,7.0,0.0,84.0,49.0,2.0,0.0,49.0,RndSwap:simple
0:0:3:2,-1.0,0,0,3,2,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
0:0:3:3,-1.0,0,0,3,3,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
0:0:3:4,-1.0,0,0,3,4,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
0:0:4:0,-1.0,0,0,4,0,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
0:0:4:1,131454.7766188558,0,0,4,1,2 14 (2.0:95.0)[true-Van]:22 3 (22.0:49.0)[false-City Cargo Bike]:4 16 (4.0:15.0)[true-City Cargo Bike]:34 25 (34.0:41.0)[false-City Cargo Bike]:5 23 (5.0:39.0)[false-Van]:7 6 (7.0:29.0)[true-City Cargo Bike]:35 17 (35.0:49.0)[false-City Cargo Bike]:12 14 (12.0:17.0)[false-City Cargo Bike]:43 11 (43.0:89.0)[false-City Cargo Bike]:37 20 (37.0:45.0)[false-City Cargo Bike]:6 12 (6.0:55.0)[false-City Cargo Bike]:9 1 (9.0:75.0)[false-City Cargo Bike]:10 13 (10.0:65.0)[false-City Cargo Bike]:11 20 (11.0:73.0)[false-City Cargo Bike]:42 6 (42.0:17.0)[false-City Cargo Bike]:13 18 (13.0:39.0)[false-City Cargo Bike]:15 8 (15.0:49.0)[false-City Cargo Bike]:17 8 (17.0:89.0)[false-City Cargo Bike]:18 24 (18.0:89.0)[false-City Cargo Bike]:19 20 (19.0:79.0)[false-City Cargo Bike]:39 2 (39.0:81.0)[false-City Cargo Bike]:26 8 (26.0:89.0)[false-Walker]:41 10 (41.0:93.0)[false-City Cargo Bike]:8 5 (8.0:87.0)[false-City Cargo Bike]:40 9 (40.0:57.0)[false-City Cargo Bike]:3 1 (3.0:45.0)[false-City Cargo Bike]:44 21 (44.0:7.0)[false-City Cargo Bike]:31 20 (31.0:63.0)[false-City Cargo Bike]:25 22 (25.0:39.0)[true-Van]:45 24 (45.0:35.0)[false-Walker]:20 19 (20.0:45.0)[false-Van]:32 12 (32.0:41.0)[false-City Cargo Bike]:27 16 (27.0:47.0)[false-City Cargo Bike]:14 7 (14.0:75.0)[false-City Cargo Bike]:33 14 (33.0:67.0)[false-City Cargo Bike]:36 19 (36.0:57.0)[false-City Cargo Bike]:23 26 (23.0:63.0)[false-City Cargo Bike]:24 17 (24.0:93.0)[false-City Cargo Bike]:21 13 (21.0:93.0)[true-Walker]:16 21 (16.0:85.0)[true-City Cargo Bike]:38 15 (38.0:83.0)[false-City Cargo Bike]:28 20 (28.0:29.0)[false-City Cargo Bike]:29 12 (29.0:13.0)[false-City Cargo Bike]:30 22 (30.0:33.0)[false-City Cargo Bike]:,SOL:R:Van::R:Van:2:22::R:City Cargo Bike:4::R:City Cargo Bike:34::R:Van:5::R:City Cargo Bike:7::R:City Cargo Bike:35::R:City Cargo Bike:12::R:City Cargo Bike:43::R:City Cargo Bike:37::R:City Cargo Bike:6::R:City Cargo Bike:9::R:City Cargo Bike:10::R:City Cargo Bike:11::R:City Cargo Bike:42::R:City Cargo Bike:13::R:City Cargo Bike:15::R:City Cargo Bike:17::R:City Cargo Bike:18::R:City Cargo Bike:19::R:City Cargo Bike:39:26::R:City Cargo Bike:41::R:City Cargo Bike:8::R:City Cargo Bike:40:3::R:City Cargo Bike:44::R:City Cargo Bike:31::R:Van:25:45:20:32:27:14::R:City Cargo Bike:33::R:City Cargo Bike:36::R:City Cargo Bike:23::R:City Cargo Bike:24::R:Walker:21::R:City Cargo Bike:16::R:City Cargo Bike:38::R:City Cargo Bike:28::R:City Cargo Bike:29::R:City Cargo Bike:30:,131454.7766188558,37.0,36344.12373250459,359534.27494222356,2130.0,357404.27494222356,4729.678058182977,NaN,8171.233521414172,826.002812102377,11.0,3.0,0.0,86.0,20.0,2.0,0.0,77.0,6.0,3.0,0.0,91.0,22.0,2.0,0.0,76.0,CrossOver:simple
