Id,Fitness,CO2,Time,Fixed Cost,Running Cost,,Distance,NoRoutes,CO2,TotalCost,FixedCost,RunningCost,TimeOfLastDel,AvgDelTime,CostPerDelivery,CO2PerDelivery,PCICRoutes,PCWalkRoutes,PCEVRoutes,PCCycleRoutes,PCICVisits,PCWalkVisits,PCEVVisits,PCCycleVisits,PCICDist,PCWalkDist,PCEVDist,PCCycleDist,PCICVol,PCWalkVol,PCEVVol,PCCycleVol,z,source
0:0:2:0,148293.64279296822,0,0,2,0,45 26 (45.0:83.0)[false-City Cargo Bike]:2 4 (2.0:7.0)[false-City Cargo Bike]:32 2 (32.0:19.0)[false-City Cargo Bike]:3 18 (3.0:27.0)[false-City Cargo Bike]:4 22 (4.0:21.0)[false-City Cargo Bike]:5 14 (5.0:33.0)[false-City Cargo Bike]:30 14 (30.0:37.0)[false-City Cargo Bike]:48 2 (48.0:35.0)[false-City Cargo Bike]:8 7 (8.0:69.0)[false-City Cargo Bike]:9 20 (9.0:11.0)[false-City Cargo Bike]:14 2 (14.0:53.0)[false-City Cargo Bike]:11 7 (11.0:59.0)[false-City Cargo Bike]:55 23 (55.0:41.0)[false-City Cargo Bike]:31 14 (31.0:29.0)[false-City Cargo Bike]:16 10 (16.0:79.0)[false-City Cargo Bike]:6 5 (6.0:19.0)[false-City Cargo Bike]:17 5 (17.0:59.0)[false-City Cargo Bike]:18 21 (18.0:67.0)[false-City Cargo Bike]:19 20 (19.0:27.0)[false-City Cargo Bike]:57 24 (57.0:77.0)[true-City Cargo Bike]:13 20 (13.0:71.0)[true-City Cargo Bike]:10 19 (10.0:21.0)[false-City Cargo Bike]:41 15 (41.0:89.0)[false-City Cargo Bike]:22 15 (22.0:95.0)[false-City Cargo Bike]:20 1 (20.0:81.0)[true-City Cargo Bike]:29 24 (29.0:71.0)[true-Van]:53 4 (53.0:49.0)[false-Van]:21 15 (21.0:59.0)[false-Van]:38 14 (38.0:59.0)[false-City Cargo Bike]:56 4 (56.0:85.0)[false-City Cargo Bike]:59 2 (59.0:83.0)[false-Van]:52 12 (52.0:63.0)[false-City Cargo Bike]:33 15 (33.0:83.0)[false-City Cargo Bike]:27 22 (27.0:83.0)[false-City Cargo Bike]:26 21 (26.0:59.0)[true-City Cargo Bike]:54 10 (54.0:83.0)[true-City Cargo Bike]:23 14 (23.0:73.0)[true-Van]:36 6 (36.0:65.0)[false-City Cargo Bike]:39 26 (39.0:17.0)[false-Walker]:28 6 (28.0:5.0)[false-City Cargo Bike]:25 22 (25.0:3.0)[false-City Cargo Bike]:34 21 (34.0:97.0)[false-Walker]:60 20 (60.0:1.0)[true-Van]:37 23 (37.0:19.0)[false-City Cargo Bike]:44 22 (44.0:23.0)[false-City Cargo Bike]:42 23 (42.0:19.0)[false-City Cargo Bike]:15 11 (15.0:87.0)[false-City Cargo Bike]:35 15 (35.0:31.0)[false-City Cargo Bike]:40 15 (40.0:45.0)[true-Van]:43 7 (43.0:23.0)[false-City Cargo Bike]:63 8 (63.0:45.0)[false-Walker]:62 19 (62.0:41.0)[false-Walker]:46 20 (46.0:11.0)[false-Van]:49 15 (49.0:21.0)[false-City Cargo Bike]:47 3 (47.0:17.0)[false-Van]:50 2 (50.0:21.0)[false-Van]:7 9 (7.0:59.0)[false-City Cargo Bike]:51 21 (51.0:71.0)[false-Van]:58 17 (58.0:57.0)[false-Van]:61 18 (61.0:45.0)[false-City Cargo Bike]:24 19 (24.0:41.0)[false-City Cargo Bike]:12 18 (12.0:99.0)[false-City Cargo Bike]:,SOL:R:City Cargo Bike::R:City Cargo Bike:45::R:City Cargo Bike:2:32::R:City Cargo Bike:3::R:City Cargo Bike:4::R:City Cargo Bike:5::R:City Cargo Bike:30::R:City Cargo Bike:48:8::R:City Cargo Bike:9::R:City Cargo Bike:14:11::R:City Cargo Bike:55::R:City Cargo Bike:31::R:City Cargo Bike:16::R:City Cargo Bike:6:17::R:City Cargo Bike:18::R:City Cargo Bike:19::R:City Cargo Bike:57::R:City Cargo Bike:13::R:City Cargo Bike:10::R:City Cargo Bike:41::R:City Cargo Bike:22::R:City Cargo Bike:20::R:Van:29:53:21:38:56:59:52:33::R:City Cargo Bike:27::R:City Cargo Bike:26::R:City Cargo Bike:54::R:Van:23:36:39:28:25:34::R:Van:60:37:44:42:15::R:City Cargo Bike:35::R:Van:40:43:63:62:46:49:47:50:7::R:Van:51:58:61:24:12:,148293.64279296822,31.0,70584.96702405311,482008.1998484746,1900.0,480108.1998484746,7087.848114080391,NaN,7774.325804007654,1138.4672100653727,16.0,0.0,0.0,84.0,53.0,0.0,0.0,47.0,10.0,0.0,0.0,90.0,54.0,0.0,0.0,46.0,CrossOver:simple
0:0:2:1,169926.67606475542,0,0,2,1,3 18 (3.0:27.0)[false-City Cargo Bike]:39 26 (39.0:17.0)[false-City Cargo Bike]:40 15 (40.0:45.0)[false-City Cargo Bike]:4 22 (4.0:21.0)[false-City Cargo Bike]:2 4 (2.0:7.0)[false-City Cargo Bike]:6 5 (6.0:19.0)[false-City Cargo Bike]:5 14 (5.0:33.0)[false-City Cargo Bike]:7 9 (7.0:59.0)[false-City Cargo Bike]:32 2 (32.0:19.0)[false-City Cargo Bike]:8 7 (8.0:69.0)[false-City Cargo Bike]:46 20 (46.0:11.0)[false-City Cargo Bike]:9 20 (9.0:11.0)[false-City Cargo Bike]:44 22 (44.0:23.0)[false-City Cargo Bike]:10 19 (10.0:21.0)[false-City Cargo Bike]:33 15 (33.0:83.0)[true-Walker]:12 18 (12.0:99.0)[false-City Cargo Bike]:45 26 (45.0:83.0)[false-City Cargo Bike]:54 10 (54.0:83.0)[false-City Cargo Bike]:18 21 (18.0:67.0)[false-City Cargo Bike]:19 20 (19.0:27.0)[false-City Cargo Bike]:21 15 (21.0:59.0)[false-City Cargo Bike]:22 15 (22.0:95.0)[false-Van]:23 14 (23.0:73.0)[false-City Cargo Bike]:24 19 (24.0:41.0)[false-City Cargo Bike]:43 7 (43.0:23.0)[false-City Cargo Bike]:58 17 (58.0:57.0)[false-Van]:17 5 (17.0:59.0)[false-City Cargo Bike]:11 7 (11.0:59.0)[false-City Cargo Bike]:16 10 (16.0:79.0)[false-City Cargo Bike]:15 11 (15.0:87.0)[false-City Cargo Bike]:61 18 (61.0:45.0)[false-Van]:37 23 (37.0:19.0)[false-City Cargo Bike]:25 22 (25.0:3.0)[false-City Cargo Bike]:28 6 (28.0:5.0)[false-City Cargo Bike]:31 14 (31.0:29.0)[false-City Cargo Bike]:41 15 (41.0:89.0)[false-City Cargo Bike]:26 21 (26.0:59.0)[false-City Cargo Bike]:27 22 (27.0:83.0)[false-City Cargo Bike]:13 20 (13.0:71.0)[false-Van]:42 23 (42.0:19.0)[false-City Cargo Bike]:38 14 (38.0:59.0)[false-City Cargo Bike]:30 14 (30.0:37.0)[false-City Cargo Bike]:35 15 (35.0:31.0)[false-City Cargo Bike]:36 6 (36.0:65.0)[false-City Cargo Bike]:20 1 (20.0:81.0)[false-Walker]:57 24 (57.0:77.0)[true-City Cargo Bike]:29 24 (29.0:71.0)[false-City Cargo Bike]:47 3 (47.0:17.0)[false-City Cargo Bike]:50 2 (50.0:21.0)[false-City Cargo Bike]:14 2 (14.0:53.0)[false-City Cargo Bike]:51 21 (51.0:71.0)[false-City Cargo Bike]:34 21 (34.0:97.0)[false-City Cargo Bike]:52 12 (52.0:63.0)[true-Van]:53 4 (53.0:49.0)[false-Van]:48 2 (48.0:35.0)[false-City Cargo Bike]:49 15 (49.0:21.0)[false-City Cargo Bike]:60 20 (60.0:1.0)[false-Van]:62 19 (62.0:41.0)[false-Van]:55 23 (55.0:41.0)[false-Van]:56 4 (56.0:85.0)[false-Van]:63 8 (63.0:45.0)[false-City Cargo Bike]:59 2 (59.0:83.0)[false-Van]:,SOL:R:City Cargo Bike::R:City Cargo Bike:3::R:City Cargo Bike:39::R:City Cargo Bike:40::R:City Cargo Bike:4::R:City Cargo Bike:2:6::R:City Cargo Bike:5::R:City Cargo Bike:7::R:City Cargo Bike:32:8::R:City Cargo Bike:46::R:City Cargo Bike:9::R:City Cargo Bike:44::R:City Cargo Bike:10::R:Walker:33::R:City Cargo Bike:12::R:City Cargo Bike:45::R:City Cargo Bike:54::R:City Cargo Bike:18::R:City Cargo Bike:19::R:City Cargo Bike:21::R:Van:22:23:24:43:58:17:11:16::R:City Cargo Bike:15::R:Van:61:37:25:28:31:41::R:City Cargo Bike:26::R:City Cargo Bike:27::R:Van:13:42:38:30:35:36:20::R:City Cargo Bike:57::R:City Cargo Bike:29::R:City Cargo Bike:47:50:14::R:City Cargo Bike:51::R:City Cargo Bike:34::R:Van:52:53:48:49:60:62:55:56::R:City Cargo Bike:63:59:,169926.67606475542,33.0,75483.61202660101,538040.7433986735,1930.0,536110.7433986735,7054.059546597862,NaN,8678.076506430218,1217.4776133322744,12.0,3.0,0.0,85.0,47.0,2.0,0.0,52.0,9.0,2.0,0.0,89.0,44.0,2.0,0.0,54.0,CrossOver:simple
0:0:2:2,-1.0,0,0,2,2,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
0:0:2:3,-1.0,0,0,2,3,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
0:0:2:4,-1.0,0,0,2,4,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
0:0:3:0,-1.0,0,0,3,0,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
0:0:3:1,211256.00847577053,0,0,3,1,3 18 (3.0:27.0)[false-City Cargo Bike]:39 26 (39.0:17.0)[false-City Cargo Bike]:40 15 (40.0:45.0)[false-City Cargo Bike]:4 22 (4.0:21.0)[false-City Cargo Bike]:2 4 (2.0:7.0)[false-City Cargo Bike]:6 5 (6.0:19.0)[false-City Cargo Bike]:5 14 (5.0:33.0)[false-City Cargo Bike]:32 2 (32.0:19.0)[false-City Cargo Bike]:8 7 (8.0:69.0)[false-City Cargo Bike]:46 20 (46.0:11.0)[false-City Cargo Bike]:9 20 (9.0:11.0)[false-City Cargo Bike]:44 22 (44.0:23.0)[false-City Cargo Bike]:10 19 (10.0:21.0)[false-City Cargo Bike]:33 15 (33.0:83.0)[true-Walker]:12 18 (12.0:99.0)[false-City Cargo Bike]:45 26 (45.0:83.0)[false-City Cargo Bike]:54 10 (54.0:83.0)[false-City Cargo Bike]:18 21 (18.0:67.0)[false-City Cargo Bike]:36 6 (36.0:65.0)[true-Van]:20 1 (20.0:81.0)[false-Walker]:57 24 (57.0:77.0)[true-City Cargo Bike]:48 2 (48.0:35.0)[false-City Cargo Bike]:59 2 (59.0:83.0)[false-Van]:56 4 (56.0:85.0)[false-Van]:52 12 (52.0:63.0)[true-Walker]:14 2 (14.0:53.0)[false-City Cargo Bike]:11 7 (11.0:59.0)[false-City Cargo Bike]:49 15 (49.0:21.0)[false-City Cargo Bike]:16 10 (16.0:79.0)[false-City Cargo Bike]:26 21 (26.0:59.0)[false-City Cargo Bike]:19 20 (19.0:27.0)[false-City Cargo Bike]:21 15 (21.0:59.0)[false-City Cargo Bike]:22 15 (22.0:95.0)[false-Van]:23 14 (23.0:73.0)[true-Van]:24 19 (24.0:41.0)[false-City Cargo Bike]:43 7 (43.0:23.0)[false-City Cargo Bike]:63 8 (63.0:45.0)[false-City Cargo Bike]:58 17 (58.0:57.0)[false-Van]:13 20 (13.0:71.0)[false-Van]:15 11 (15.0:87.0)[false-City Cargo Bike]:61 18 (61.0:45.0)[false-Van]:37 23 (37.0:19.0)[false-City Cargo Bike]:25 22 (25.0:3.0)[false-City Cargo Bike]:28 6 (28.0:5.0)[false-City Cargo Bike]:31 14 (31.0:29.0)[false-City Cargo Bike]:41 15 (41.0:89.0)[false-City Cargo Bike]:35 15 (35.0:31.0)[false-City Cargo Bike]:27 22 (27.0:83.0)[false-City Cargo Bike]:29 24 (29.0:71.0)[false-City Cargo Bike]:30 14 (30.0:37.0)[false-City Cargo Bike]:42 23 (42.0:19.0)[false-City Cargo Bike]:38 14 (38.0:59.0)[false-City Cargo Bike]:47 3 (47.0:17.0)[false-City Cargo Bike]:50 2 (50.0:21.0)[false-City Cargo Bike]:17 5 (17.0:59.0)[false-City Cargo Bike]:51 21 (51.0:71.0)[false-City Cargo Bike]:34 21 (34.0:97.0)[false-City Cargo Bike]:53 4 (53.0:49.0)[false-Van]:55 23 (55.0:41.0)[false-Van]:60 20 (60.0:1.0)[false-Van]:62 19 (62.0:41.0)[false-Van]:7 9 (7.0:59.0)[false-City Cargo Bike]:,SOL:R:City Cargo Bike::R:City Cargo Bike:3::R:City Cargo Bike:39::R:City Cargo Bike:40::R:City Cargo Bike:4::R:City Cargo Bike:2:6::R:City Cargo Bike:5::R:City Cargo Bike:32:8::R:City Cargo Bike:46::R:City Cargo Bike:9::R:City Cargo Bike:44::R:City Cargo Bike:10::R:Walker:33::R:City Cargo Bike:12::R:City Cargo Bike:45::R:City Cargo Bike:54::R:City Cargo Bike:18::R:Van:36:20::R:City Cargo Bike:57::R:City Cargo Bike:48:59:56::R:Walker:52::R:City Cargo Bike:14:11::R:City Cargo Bike:49::R:City Cargo Bike:16::R:City Cargo Bike:26::R:City Cargo Bike:19::R:City Cargo Bike:21::R:Van:22::R:Van:23:24:43:63:58:13:15::R:Van:61:37:25:28:31:41::R:City Cargo Bike:35::R:City Cargo Bike:27::R:City Cargo Bike:29::R:City Cargo Bike:30::R:City Cargo Bike:42::R:City Cargo Bike:38::R:City Cargo Bike:47:50:17::R:City Cargo Bike:51::R:City Cargo Bike:34::R:Van:53:55:60:62:7:,211256.00847577053,40.0,72175.04175272808,612517.1255086341,2350.0,610167.1255086341,7080.7379344684705,NaN,9879.308475945712,1164.1135766569046,13.0,5.0,0.0,83.0,34.0,3.0,0.0,63.0,7.0,5.0,0.0,88.0,33.0,3.0,0.0,64.0,RndSwap:simple
0:0:3:2,277473.13005854806,0,0,3,2,2 4 (2.0:7.0)[false-City Cargo Bike]:3 18 (3.0:27.0)[false-City Cargo Bike]:4 22 (4.0:21.0)[false-City Cargo Bike]:6 5 (6.0:19.0)[false-City Cargo Bike]:7 9 (7.0:59.0)[false-City Cargo Bike]:8 7 (8.0:69.0)[false-City Cargo Bike]:9 20 (9.0:11.0)[false-City Cargo Bike]:10 19 (10.0:21.0)[false-City Cargo Bike]:12 18 (12.0:99.0)[false-City Cargo Bike]:14 2 (14.0:53.0)[true-City Cargo Bike]:11 7 (11.0:59.0)[false-City Cargo Bike]:15 11 (15.0:87.0)[false-City Cargo Bike]:49 15 (49.0:21.0)[false-City Cargo Bike]:31 14 (31.0:29.0)[false-City Cargo Bike]:16 10 (16.0:79.0)[false-City Cargo Bike]:17 5 (17.0:59.0)[false-City Cargo Bike]:19 20 (19.0:27.0)[false-City Cargo Bike]:20 1 (20.0:81.0)[false-Walker]:21 15 (21.0:59.0)[false-City Cargo Bike]:22 15 (22.0:95.0)[false-Van]:23 14 (23.0:73.0)[false-City Cargo Bike]:24 19 (24.0:41.0)[false-City Cargo Bike]:37 23 (37.0:19.0)[true-City Cargo Bike]:25 22 (25.0:3.0)[false-City Cargo Bike]:28 6 (28.0:5.0)[false-City Cargo Bike]:41 15 (41.0:89.0)[false-City Cargo Bike]:33 15 (33.0:83.0)[false-City Cargo Bike]:34 21 (34.0:97.0)[false-City Cargo Bike]:26 21 (26.0:59.0)[false-City Cargo Bike]:27 22 (27.0:83.0)[false-City Cargo Bike]:29 24 (29.0:71.0)[false-City Cargo Bike]:30 14 (30.0:37.0)[false-City Cargo Bike]:44 22 (44.0:23.0)[false-City Cargo Bike]:42 23 (42.0:19.0)[false-City Cargo Bike]:32 2 (32.0:19.0)[true-City Cargo Bike]:38 14 (38.0:59.0)[false-City Cargo Bike]:35 15 (35.0:31.0)[false-City Cargo Bike]:36 6 (36.0:65.0)[false-City Cargo Bike]:45 26 (45.0:83.0)[false-City Cargo Bike]:40 15 (40.0:45.0)[false-City Cargo Bike]:39 26 (39.0:17.0)[false-City Cargo Bike]:13 20 (13.0:71.0)[true-Van]:48 2 (48.0:35.0)[false-City Cargo Bike]:46 20 (46.0:11.0)[false-City Cargo Bike]:54 10 (54.0:83.0)[false-City Cargo Bike]:47 3 (47.0:17.0)[false-City Cargo Bike]:50 2 (50.0:21.0)[false-City Cargo Bike]:51 21 (51.0:71.0)[false-City Cargo Bike]:43 7 (43.0:23.0)[false-City Cargo Bike]:52 12 (52.0:63.0)[false-Van]:53 4 (53.0:49.0)[false-Van]:62 19 (62.0:41.0)[false-Van]:5 14 (5.0:33.0)[false-City Cargo Bike]:18 21 (18.0:67.0)[false-City Cargo Bike]:63 8 (63.0:45.0)[false-Van]:58 17 (58.0:57.0)[false-Van]:55 23 (55.0:41.0)[false-Van]:56 4 (56.0:85.0)[false-Van]:57 24 (57.0:77.0)[false-Van]:59 2 (59.0:83.0)[true-City Cargo Bike]:60 20 (60.0:1.0)[false-Van]:61 18 (61.0:45.0)[false-Van]:,SOL:R:City Cargo Bike:2:6::R:City Cargo Bike:3::R:City Cargo Bike:4::R:City Cargo Bike:7::R:City Cargo Bike:8:48::R:City Cargo Bike:9::R:City Cargo Bike:10::R:City Cargo Bike:12::R:City Cargo Bike:14:11::R:City Cargo Bike:15::R:City Cargo Bike:49::R:City Cargo Bike:31::R:City Cargo Bike:16::R:City Cargo Bike:17:47::R:City Cargo Bike:19::R:Walker:20::R:City Cargo Bike:21::R:Van:22:52:53:62:63:58:55::R:City Cargo Bike:23::R:City Cargo Bike:24::R:City Cargo Bike:37::R:City Cargo Bike:25::R:City Cargo Bike:28:50::R:City Cargo Bike:41::R:City Cargo Bike:33::R:City Cargo Bike:34::R:City Cargo Bike:26::R:City Cargo Bike:27::R:City Cargo Bike:29::R:City Cargo Bike:30::R:City Cargo Bike:44::R:City Cargo Bike:42::R:City Cargo Bike:32:36::R:City Cargo Bike:38::R:City Cargo Bike:35::R:City Cargo Bike:45::R:City Cargo Bike:40::R:City Cargo Bike:39::R:Van:13:56:57:60:61::R:City Cargo Bike:46::R:City Cargo Bike:54::R:City Cargo Bike:51::R:City Cargo Bike:43::R:City Cargo Bike:5::R:City Cargo Bike:18::R:City Cargo Bike:59:,277473.13005854806,46.0,76120.95162642599,755300.7343458039,2440.0,752860.7343458039,6242.818180220457,2775.5391265957687,12182.269908803288,1227.7572842971933,4.0,2.0,0.0,93.0,19.0,2.0,0.0,79.0,5.0,1.0,0.0,94.0,21.0,0.0,0.0,79.0,RndSwap:advanced
0:0:3:3,-1.0,0,0,3,3,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
0:0:3:4,-1.0,0,0,3,4,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
0:0:4:0,-1.0,0,0,4,0,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
