Id,Fitness,CO2,Time,Fixed Cost,Running Cost,,Distance,NoRoutes,CO2,TotalCost,FixedCost,RunningCost,TimeOfLastDel,AvgDelTime,CostPerDelivery,CO2PerDelivery,PCICRoutes,PCWalkRoutes,PCEVRoutes,PCCycleRoutes,PCICVisits,PCWalkVisits,PCEVVisits,PCCycleVisits,PCICDist,PCWalkDist,PCEVDist,PCCycleDist,PCICVol,PCWalkVol,PCEVVol,PCCycleVol,z,source
0:0:2:0,-1.0,0,0,2,0,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
0:0:2:1,96036.81974084255,0,0,2,1,8 21 (8.0:14.0)[false-City Cargo Bike]:2 3 (2.0:94.0)[false-City Cargo Bike]:30 7 (30.0:58.0)[false-City Cargo Bike]:32 15 (32.0:9.0)[false-City Cargo Bike]:4 25 (4.0:16.0)[false-City Cargo Bike]:9 10 (9.0:42.0)[true-Van]:13 16 (13.0:41.0)[true-Walker]:7 20 (7.0:81.0)[false-City Cargo Bike]:34 12 (34.0:19.0)[true-Van]:26 23 (26.0:47.0)[false-City Cargo Bike]:11 13 (11.0:41.0)[false-City Cargo Bike]:10 20 (10.0:90.0)[true-Van]:20 11 (20.0:58.0)[false-City Cargo Bike]:17 6 (17.0:57.0)[false-City Cargo Bike]:33 22 (33.0:47.0)[false-City Cargo Bike]:39 18 (39.0:57.0)[false-City Cargo Bike]:31 11 (31.0:30.0)[false-City Cargo Bike]:5 4 (5.0:25.0)[false-City Cargo Bike]:22 22 (22.0:41.0)[true-Van]:14 17 (14.0:65.0)[false-City Cargo Bike]:42 20 (42.0:51.0)[false-City Cargo Bike]:54 11 (54.0:46.0)[false-Van]:18 7 (18.0:14.0)[false-City Cargo Bike]:15 11 (15.0:13.0)[false-City Cargo Bike]:6 11 (6.0:41.0)[false-City Cargo Bike]:21 17 (21.0:5.0)[true-Van]:52 18 (52.0:1.0)[false-City Cargo Bike]:38 15 (38.0:21.0)[false-City Cargo Bike]:3 12 (3.0:10.0)[false-City Cargo Bike]:27 19 (27.0:11.0)[false-City Cargo Bike]:12 14 (12.0:21.0)[false-City Cargo Bike]:16 36 (16.0:21.0)[false-City Cargo Bike]:46 66 (46.0:89.0)[false-City Cargo Bike]:24 19 (24.0:84.0)[false-City Cargo Bike]:35 24 (35.0:15.0)[false-City Cargo Bike]:19 21 (19.0:66.0)[false-City Cargo Bike]:44 10 (44.0:84.0)[false-City Cargo Bike]:25 21 (25.0:97.0)[false-City Cargo Bike]:43 14 (43.0:9.0)[false-City Cargo Bike]:28 15 (28.0:60.0)[false-City Cargo Bike]:29 22 (29.0:60.0)[false-City Cargo Bike]:36 25 (36.0:88.0)[false-City Cargo Bike]:48 7 (48.0:69.0)[false-City Cargo Bike]:37 2 (37.0:33.0)[false-City Cargo Bike]:49 12 (49.0:75.0)[true-Van]:50 24 (50.0:97.0)[false-City Cargo Bike]:53 7 (53.0:96.0)[false-Van]:40 13 (40.0:81.0)[false-City Cargo Bike]:45 10 (45.0:95.0)[false-City Cargo Bike]:51 5 (51.0:74.0)[false-Van]:55 12 (55.0:74.0)[false-Van]:41 3 (41.0:49.0)[false-City Cargo Bike]:23 10 (23.0:50.0)[false-City Cargo Bike]:47 10 (47.0:10.0)[false-City Cargo Bike]:,SOL:R:City Cargo Bike::R:City Cargo Bike:8::R:City Cargo Bike:2:30::R:City Cargo Bike:32::R:City Cargo Bike:4::R:Van:9::R:Walker:13::R:City Cargo Bike:7::R:Van:34:26:11::R:Van:10:20:17:33:39:31:5::R:Van:22:14:42:54:18:15:6::R:Van:21:52:38:3:27:12::R:City Cargo Bike:16::R:City Cargo Bike:46::R:City Cargo Bike:24::R:City Cargo Bike:35::R:City Cargo Bike:19::R:City Cargo Bike:44::R:City Cargo Bike:25::R:City Cargo Bike:43::R:City Cargo Bike:28::R:City Cargo Bike:29::R:City Cargo Bike:36::R:City Cargo Bike:48:37::R:Van:49:50:53:40:45:51:55:41:23::R:City Cargo Bike:47:,96036.81974084255,26.0,46863.17435129362,315637.89279504865,1720.0,313917.89279504865,6237.7221926850525,NaN,5845.146162871271,867.8365620609931,23.0,4.0,0.0,73.0,61.0,2.0,0.0,37.0,10.0,2.0,0.0,89.0,52.0,2.0,0.0,46.0,RndSwap:simple
0:0:2:2,149464.20688412202,0,0,2,2,52 18 (52.0:1.0)[false-Van]:43 14 (43.0:9.0)[false-City Cargo Bike]:5 4 (5.0:25.0)[false-City Cargo Bike]:3 12 (3.0:10.0)[true-Van]:8 21 (8.0:14.0)[false-City Cargo Bike]:9 10 (9.0:42.0)[false-City Cargo Bike]:13 16 (13.0:41.0)[false-City Cargo Bike]:22 22 (22.0:41.0)[false-City Cargo Bike]:14 17 (14.0:65.0)[false-City Cargo Bike]:15 11 (15.0:13.0)[true-Van]:16 36 (16.0:21.0)[false-City Cargo Bike]:18 7 (18.0:14.0)[false-City Cargo Bike]:10 20 (10.0:90.0)[false-City Cargo Bike]:6 11 (6.0:41.0)[false-City Cargo Bike]:19 21 (19.0:66.0)[false-City Cargo Bike]:20 11 (20.0:58.0)[false-City Cargo Bike]:11 13 (11.0:41.0)[false-City Cargo Bike]:33 22 (33.0:47.0)[false-City Cargo Bike]:44 10 (44.0:84.0)[false-City Cargo Bike]:21 17 (21.0:5.0)[false-City Cargo Bike]:23 10 (23.0:50.0)[false-City Cargo Bike]:26 23 (26.0:47.0)[false-City Cargo Bike]:28 15 (28.0:60.0)[false-City Cargo Bike]:29 22 (29.0:60.0)[false-City Cargo Bike]:30 7 (30.0:58.0)[false-City Cargo Bike]:31 11 (31.0:30.0)[false-City Cargo Bike]:32 15 (32.0:9.0)[false-City Cargo Bike]:35 24 (35.0:15.0)[false-City Cargo Bike]:7 20 (7.0:81.0)[false-City Cargo Bike]:36 25 (36.0:88.0)[false-City Cargo Bike]:47 10 (47.0:10.0)[false-City Cargo Bike]:41 3 (41.0:49.0)[false-City Cargo Bike]:17 6 (17.0:57.0)[false-City Cargo Bike]:24 19 (24.0:84.0)[false-City Cargo Bike]:4 25 (4.0:16.0)[false-City Cargo Bike]:39 18 (39.0:57.0)[false-City Cargo Bike]:40 13 (40.0:81.0)[false-City Cargo Bike]:45 10 (45.0:95.0)[false-City Cargo Bike]:46 66 (46.0:89.0)[false-City Cargo Bike]:12 14 (12.0:21.0)[false-City Cargo Bike]:2 3 (2.0:94.0)[false-City Cargo Bike]:48 7 (48.0:69.0)[false-City Cargo Bike]:50 24 (50.0:97.0)[false-City Cargo Bike]:25 21 (25.0:97.0)[false-City Cargo Bike]:51 5 (51.0:74.0)[false-City Cargo Bike]:37 2 (37.0:33.0)[false-City Cargo Bike]:55 12 (55.0:74.0)[false-Van]:49 12 (49.0:75.0)[false-City Cargo Bike]:53 7 (53.0:96.0)[false-Van]:42 20 (42.0:51.0)[false-City Cargo Bike]:38 15 (38.0:21.0)[false-City Cargo Bike]:34 12 (34.0:19.0)[false-City Cargo Bike]:27 19 (27.0:11.0)[false-City Cargo Bike]:54 11 (54.0:46.0)[true-Walker]:,SOL:R:Van:52:43:5::R:Van:3:8:9:13:22:14::R:Van:15:16:18:10:6::R:City Cargo Bike:19::R:City Cargo Bike:20::R:City Cargo Bike:11::R:City Cargo Bike:33::R:City Cargo Bike:44::R:City Cargo Bike:21::R:City Cargo Bike:23::R:City Cargo Bike:26::R:City Cargo Bike:28::R:City Cargo Bike:29::R:City Cargo Bike:30::R:City Cargo Bike:31::R:City Cargo Bike:32::R:City Cargo Bike:35::R:City Cargo Bike:7::R:City Cargo Bike:36::R:City Cargo Bike:47::R:City Cargo Bike:41:17::R:City Cargo Bike:24::R:City Cargo Bike:4::R:City Cargo Bike:39::R:City Cargo Bike:40::R:City Cargo Bike:45::R:City Cargo Bike:46::R:City Cargo Bike:12::R:City Cargo Bike:2:48::R:City Cargo Bike:50::R:City Cargo Bike:25::R:City Cargo Bike:51:37::R:Van:55:49:53:42:38:34:27::R:Walker:54:,149464.20688412202,34.0,47617.06898689042,424712.79313415906,1980.0,422732.79313415906,6073.376147495997,2289.1744714142355,7865.051724706649,881.7975738313041,12.0,3.0,0.0,85.0,39.0,2.0,0.0,59.0,6.0,4.0,0.0,90.0,38.0,1.0,0.0,61.0,RndSwap:simple
0:0:2:3,-1.0,0,0,2,3,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
0:0:2:4,-1.0,0,0,2,4,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
0:0:3:0,-1.0,0,0,3,0,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
0:0:3:1,118929.08329501122,0,0,3,1,9 10 (9.0:42.0)[true-Van]:29 22 (29.0:60.0)[true-Van]:19 21 (19.0:66.0)[false-City Cargo Bike]:31 11 (31.0:30.0)[false-City Cargo Bike]:17 6 (17.0:57.0)[false-City Cargo Bike]:3 12 (3.0:10.0)[false-City Cargo Bike]:4 25 (4.0:16.0)[false-City Cargo Bike]:5 4 (5.0:25.0)[false-City Cargo Bike]:8 21 (8.0:14.0)[false-City Cargo Bike]:30 7 (30.0:58.0)[false-City Cargo Bike]:18 7 (18.0:14.0)[false-City Cargo Bike]:35 24 (35.0:15.0)[false-City Cargo Bike]:32 15 (32.0:9.0)[false-City Cargo Bike]:34 12 (34.0:19.0)[false-City Cargo Bike]:42 20 (42.0:51.0)[true-Van]:13 16 (13.0:41.0)[false-City Cargo Bike]:10 20 (10.0:90.0)[true-Van]:2 3 (2.0:94.0)[false-City Cargo Bike]:20 11 (20.0:58.0)[false-City Cargo Bike]:39 18 (39.0:57.0)[false-City Cargo Bike]:41 3 (41.0:49.0)[false-City Cargo Bike]:33 22 (33.0:47.0)[false-City Cargo Bike]:11 13 (11.0:41.0)[false-City Cargo Bike]:40 13 (40.0:81.0)[false-City Cargo Bike]:12 14 (12.0:21.0)[false-City Cargo Bike]:44 10 (44.0:84.0)[true-City Cargo Bike]:22 22 (22.0:41.0)[false-City Cargo Bike]:14 17 (14.0:65.0)[false-City Cargo Bike]:38 15 (38.0:21.0)[false-City Cargo Bike]:15 11 (15.0:13.0)[false-City Cargo Bike]:26 23 (26.0:47.0)[false-City Cargo Bike]:7 20 (7.0:81.0)[false-City Cargo Bike]:54 11 (54.0:46.0)[false-Van]:21 17 (21.0:5.0)[false-City Cargo Bike]:52 18 (52.0:1.0)[false-City Cargo Bike]:16 36 (16.0:21.0)[false-City Cargo Bike]:46 66 (46.0:89.0)[false-City Cargo Bike]:25 21 (25.0:97.0)[false-City Cargo Bike]:27 19 (27.0:11.0)[false-City Cargo Bike]:28 15 (28.0:60.0)[false-City Cargo Bike]:36 25 (36.0:88.0)[false-City Cargo Bike]:48 7 (48.0:69.0)[false-City Cargo Bike]:37 2 (37.0:33.0)[false-City Cargo Bike]:24 19 (24.0:84.0)[false-City Cargo Bike]:47 10 (47.0:10.0)[false-City Cargo Bike]:43 14 (43.0:9.0)[false-City Cargo Bike]:49 12 (49.0:75.0)[true-Van]:50 24 (50.0:97.0)[false-City Cargo Bike]:53 7 (53.0:96.0)[false-Van]:45 10 (45.0:95.0)[false-City Cargo Bike]:51 5 (51.0:74.0)[false-Van]:55 12 (55.0:74.0)[false-Van]:23 10 (23.0:50.0)[false-City Cargo Bike]:6 11 (6.0:41.0)[false-City Cargo Bike]:,SOL:R:Van::R:Van:9::R:Van:29:19:31:17:3:4::R:City Cargo Bike:5::R:City Cargo Bike:8::R:City Cargo Bike:30::R:City Cargo Bike:18::R:City Cargo Bike:35::R:City Cargo Bike:32::R:City Cargo Bike:34::R:Van:42:13::R:Van:10:2:20:39:41:33:11::R:City Cargo Bike:40::R:City Cargo Bike:12::R:City Cargo Bike:44::R:City Cargo Bike:22::R:City Cargo Bike:14::R:City Cargo Bike:38::R:City Cargo Bike:15::R:City Cargo Bike:26::R:City Cargo Bike:7::R:Van:54:21:52:16::R:City Cargo Bike:46::R:City Cargo Bike:25::R:City Cargo Bike:27::R:City Cargo Bike:28::R:City Cargo Bike:36::R:City Cargo Bike:48:37::R:City Cargo Bike:24::R:City Cargo Bike:47::R:City Cargo Bike:43::R:Van:49:50:53:45:51:55:23:6:,118929.08329501122,32.0,45859.10583258203,359181.8417547358,2090.0,357091.8417547358,6280.039075980206,NaN,6651.515588050663,849.2427006033708,22.0,0.0,0.0,78.0,52.0,0.0,0.0,48.0,8.0,0.0,0.0,92.0,48.0,0.0,0.0,52.0,AddRoute:CargoBike:simple
0:0:3:2,149455.35547138308,0,0,3,2,46 66 (46.0:89.0)[false-City Cargo Bike]:2 3 (2.0:94.0)[false-City Cargo Bike]:30 7 (30.0:58.0)[false-City Cargo Bike]:4 25 (4.0:16.0)[false-City Cargo Bike]:9 10 (9.0:42.0)[true-Van]:26 23 (26.0:47.0)[true-Walker]:7 20 (7.0:81.0)[false-City Cargo Bike]:34 12 (34.0:19.0)[false-City Cargo Bike]:11 13 (11.0:41.0)[false-City Cargo Bike]:8 21 (8.0:14.0)[false-City Cargo Bike]:10 20 (10.0:90.0)[true-Van]:20 11 (20.0:58.0)[false-City Cargo Bike]:33 22 (33.0:47.0)[true-Walker]:23 10 (23.0:50.0)[false-City Cargo Bike]:39 18 (39.0:57.0)[false-City Cargo Bike]:6 11 (6.0:41.0)[false-City Cargo Bike]:24 19 (24.0:84.0)[false-City Cargo Bike]:22 22 (22.0:41.0)[false-City Cargo Bike]:14 17 (14.0:65.0)[false-City Cargo Bike]:13 16 (13.0:41.0)[false-Van]:54 11 (54.0:46.0)[false-Van]:15 11 (15.0:13.0)[false-City Cargo Bike]:5 4 (5.0:25.0)[false-City Cargo Bike]:32 15 (32.0:9.0)[false-City Cargo Bike]:16 36 (16.0:21.0)[false-City Cargo Bike]:19 21 (19.0:66.0)[false-City Cargo Bike]:44 10 (44.0:84.0)[false-City Cargo Bike]:21 17 (21.0:5.0)[false-City Cargo Bike]:52 18 (52.0:1.0)[false-City Cargo Bike]:25 21 (25.0:97.0)[false-City Cargo Bike]:27 19 (27.0:11.0)[false-City Cargo Bike]:28 15 (28.0:60.0)[false-City Cargo Bike]:31 11 (31.0:30.0)[false-City Cargo Bike]:36 25 (36.0:88.0)[false-City Cargo Bike]:48 7 (48.0:69.0)[false-City Cargo Bike]:37 2 (37.0:33.0)[false-City Cargo Bike]:38 15 (38.0:21.0)[false-City Cargo Bike]:42 20 (42.0:51.0)[false-City Cargo Bike]:43 14 (43.0:9.0)[false-City Cargo Bike]:29 22 (29.0:60.0)[false-City Cargo Bike]:18 7 (18.0:14.0)[false-City Cargo Bike]:12 14 (12.0:21.0)[false-City Cargo Bike]:49 12 (49.0:75.0)[true-Van]:50 24 (50.0:97.0)[false-City Cargo Bike]:53 7 (53.0:96.0)[false-Van]:40 13 (40.0:81.0)[false-City Cargo Bike]:45 10 (45.0:95.0)[false-City Cargo Bike]:51 5 (51.0:74.0)[false-Van]:55 12 (55.0:74.0)[false-Van]:41 3 (41.0:49.0)[false-City Cargo Bike]:17 6 (17.0:57.0)[false-City Cargo Bike]:35 24 (35.0:15.0)[false-City Cargo Bike]:3 12 (3.0:10.0)[false-City Cargo Bike]:47 10 (47.0:10.0)[false-City Cargo Bike]:,SOL:R:City Cargo Bike::R:City Cargo Bike:46::R:City Cargo Bike:2:30::R:City Cargo Bike:4::R:Van:9::R:Walker:26::R:City Cargo Bike:7::R:City Cargo Bike:34::R:City Cargo Bike:11::R:City Cargo Bike:8::R:Van:10:20::R:Walker:33::R:City Cargo Bike:23::R:City Cargo Bike:39::R:City Cargo Bike:6::R:City Cargo Bike:24::R:City Cargo Bike:22::R:City Cargo Bike:14::R:Van:13:54:15:5:32:16::R:City Cargo Bike:19::R:City Cargo Bike:44::R:City Cargo Bike:21::R:City Cargo Bike:52::R:City Cargo Bike:25::R:City Cargo Bike:27::R:City Cargo Bike:28::R:City Cargo Bike:31::R:City Cargo Bike:36::R:City Cargo Bike:48:37::R:City Cargo Bike:38::R:City Cargo Bike:42::R:City Cargo Bike:43::R:City Cargo Bike:29::R:City Cargo Bike:18::R:City Cargo Bike:12::R:Van:49:50:53:40:45:51:55:41:17::R:City Cargo Bike:35::R:City Cargo Bike:3::R:City Cargo Bike:47:,149455.35547138308,39.0,47765.26718096848,425330.4056132842,2230.0,423100.4056132842,6286.991886789059,NaN,7876.4889928385965,884.5419848327497,10.0,5.0,0.0,85.0,33.0,4.0,0.0,63.0,6.0,5.0,0.0,89.0,27.0,5.0,0.0,68.0,RndSwap:simple
0:0:3:3,-1.0,0,0,3,3,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
0:0:3:4,-1.0,0,0,3,4,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
0:0:4:0,-1.0,0,0,4,0,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
0:0:4:1,-1.0,0,0,4,1,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
